code,rcn,title
EE-19-2014,"664695","Improving the financeability and attractiveness of sustainable energy investments"
EE-20-2014,"664696","Project development assistance for innovative bankable and aggregated sustainable energy investment schemes and projects"
EE-21-2014,"664697","Development and market roll-out of innovative energy services and financial schemes for sustainable energy"
EE-02-2015,"664698","Buildings design for new highly energy performing buildings"
EE-05-2015,"664699","Increasing energy performance of existing buildings through process and organisation innovations and creating a market for deep renovation"
EE-06-2015,"664700","Demand response in blocks of buildings"
EE-07-2015,"664701","Enhancing the capacity of public authorities to plan and implement sustainable energy policies and measures"
EE-09-2015,"664702","Empowering stakeholders to assist public authorities in the definition and implementation of sustainable energy policies and measures"
EE-10-2015,"664703","Consumer engagement for sustainable energy"
EE-11-2015,"664704","New ICT-based solutions for energy efficiency"
EE-13-2015,"664705","Technology for district heating and cooling"
EE-14-2015,"664706","Removing market barriers to the uptake of efficient heating and cooling solutions"
EE-15-2015,"664707","Ensuring effective implementation of EU product efficiency legislation"
EE-16-2015,"664708","Organisational innovation to increase energy efficiency in industry"
EE-17-2015,"664709","Driving energy innovation through large buyer groups"
EE-18-2015,"664710","New technologies for utilization of heat recovery in large industrial systems, considering the whole energy cycle from heat production to transformation, delivery and end use"
EE-19-2015,"664711","Improving the financeability and attractiveness of sustainable energy investments"
EE-20-2015,"664712","Project development assistance for innovative bankable and aggregated sustainable energy investment schemes and projects"
EE-21-2015,"664713","Development and market roll-out of innovative energy services and financial schemes for sustainable energy"
WASTE-4b-2014,"664714","Global waste dimension"
WASTE-2014-4-c,"664715","Secondary raw materials inventory"
WASTE-6b-2015,"664716","Eco-innovative strategies"
SC5-10b-2014,"664717","Structuring research on soil, land-use and land management in Europe"
SC5-11d-2015,"664718","New sustainable exploration technologies and geomodels "
SC5-11e-2015,"664719","New metallurgical systems "
SC5-03b-2014,"664720","Linkages between climate change actions and sustainable development"
SC5-13b-2014,"664721","Strategic international dialogues and cooperation on raw materials with technologically advanced countries"
SC5-13d-2015,"664722","Raw materials research and innovation coordination"
SC5-13e-2015,"664723","Raw materials intelligence capacity"
SC5-13f-2015,"664724","Strategic international dialogues and cooperation with raw materials producing countries and industry"
WASTE-4c-2014,"664725","Secondary raw materials inventory"
SFS-01a-2014,"664726","Genetics and nutrition and alternative feed sources for terrestrial livestock production "
SFS-01c-2015,"664727","Assessing sustainability of terrestrial livestock production "
SFS-02a-2014,"664728","External nutrient inputs "
SFS-02b-2015,"664729","Assessing soil-improving cropping systems "
SFS-03a-2014,"664730","Native and alien pests in agriculture and forestry "
SFS-04-2014,"664731","Soil quality and function"
SFS-05-2015,"664732","Strategies for crop productivity, stability and quality"
SFS-06-2014,"664733","Sustainable intensification pathways of agro-food systems in Africa"
SFS-07a-2014,"664734","Traditional resources for agricultural diversity and the food chain "
SFS-07b-2015,"664735","Management and sustainable use of genetic resources "
SFS-08-2014,"664736","Resource-efficient eco-innovative food production and processing"
SFS-08-2015,"664737","Resource-efficient eco-innovative food production and processing"
SFS-09-2014,"664738","Towards a gradual elimination of discards in European fisheries"
SFS-10a-2014,"664739","Scientific basis and tools for preventing and mitigating parasitic diseases of European farmed fish "
SFS-10b-2015,"664740","Scientific basis and tools for preventing and mitigating farmed mollusc diseases "
SFS-11a-2014,"664741","Optimizing space availability for European Aquaculture "
SFS-11b-2015,"664742","Consolidating the environmental sustainability of European aquaculture "
SFS-12-2014,"664743","Assessing the health risks of combined human exposure to multiple food-related toxic substances"
SFS-13-2015,"664744","Biological contamination of crops and the food chain"
SFS-14a-2014,"664745","Authentication of olive oil "
SFS-14b-2015,"664746","Authentication of food products "
SFS-15-2014,"664747","Proteins of the future"
SFS-16-2015,"664748","Tackling malnutrition in the elderly"
SFS-18-2015,"664749","Small farms but global markets: the role of small and familiy farms in food and nutrition security"
SFS-19-2014,"664750","Sustainable food and nutrition security through evidence based EU agro-food policy"
SFS-20-2015,"664751","Sustainable food chains through public policies: the cases of the EU quality policy and of public sector food procurement"
BG-01-2015,"664752","Improving the preservation and sustainable exploitation of Atlantic marine ecosystems"
BG-02-2015,"664753","Forecasting and anticipating effects of climate change on fisheries and aquaculture"
BG-03-2014,"664754","Novel marine derived biomolecules and industrial biomaterials"
BG-04-2014,"664755","Enhancing the industrial exploitation potential of marine-derived enzymes"
BG-05-2014,"664756","Preparing for the future innovative offshore economy"
BG-06-2014,"664757","Delivering the sub-sea technologies for new services at sea"
BG-07-2015,"664758","Response capacities to oil spills and marine pollutions"
BG-08-2014,"664759","Developing in-situ Atlantic Ocean Observations for a better management and sustainable exploitation of the maritime resources"
BG-09-2014,"664760","Acoustic and imaging technologies"
BG-10-2014,"664761","Consolidating the economic sustainability and competitiveness of European fisheries and aquaculture sectors to reap the potential of seafood markets"
BG-11-2014,"664762","Monitoring, dissemination and uptake of marine and maritime research"
BG-12-2014,"664763","Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth"
BG-12-2015,"664764","Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth"
BG-13-2014,"664765","Ocean literacy – Engaging with society – Social Innovation"
BG-14-2014,"664766","Supporting international cooperation initiatives:  Atlantic Ocean Cooperation Research Alliance"
BG-15-2014,"664767","European polar research cooperation"
BG-16-2015,"664768","Coordination action in support of the implementation of the Joint Programming Initiative on 'Healthy and Productive Seas and Oceans'"
ISIB-01-2014,"664769","Provision of public goods by EU agriculture and forestry: Putting the concept into practice"
ISIB-02-2014,"664770","Closing the research and innovation divide: the crucial role of innovation support services and knowledge exchange"
ISIB-02-2015,"664771","Closing the research and innovation divide: the crucial role of innovation support services and knowledge exchange"
ISIB-03-2015,"664772","Unlocking the growth potential of rural areas through enhanced governance and social innovation"
ISIB-04a-2014,"664773","Improved forest data "
ISIB-04b-2015,"664774"," Improved forest management models "
ISIB-05-2014,"664775","Renewable oil crops as a source of bio-based products"
ISIB-06-2015,"664776","Converting CO2 into chemicals"
ISIB-07-2014,"664777","Public procurement networks on innovative bio-based products"
ISIB-08a-2014,"664778"," Engaging society, reaching end users and linking with policy makers for a participative governance of the bioeconomy"
ISIB-09-2014,"664779","Supporting National Contact Points for Horizon 2020 Societal Challenge 2 on ‘Food Security, Sustainable Agriculture, Marine and Maritime Research and the Bioeconomy’ and the Key Enabling Technology (KET) ‘Biotechnology’"
ISIB-10-2014,"664780","Networking of Bioeconomy relevant ERA-NETs"
ISIB-11-2014,"664781","Coordination action in support of the implementation by participating States of a Joint Programming Initiative on Agriculture, Food Security and Climate Change"
ISIB-12b-2015,"664782","Rural development "
ERC-StG-2014,"664783","ERC Starting Grant"
ERC-CoG-2014,"664784","ERC Consolidator Grant"
ERC-PoC-2014,"664785","ERC Proof of Concept Grant"
ICT-01-2014,"664786","Smart Cyber-Physical Systems"
ICT-02-2014,"664787","Smart System Integration"
ICT-03-2014,"664788","Advanced Thin, Organic and Large Area Electronics (TOLAE) technologies"
ICT-04-2015,"664789","Customised and low power computing"
ICT-05-2014,"664790","Smart Networks and novel Internet Architectures"
ICT-06-2014,"664791","Smart optical and wireless network technologies"
ICT-07-2014,"664792","Advanced Cloud Infrastructures and Services"
ICT-08-2015,"664793","Boosting public sector productivity and innovation through cloud computing services"
ICT-09-2014,"664794","Tools and Methods for Software Development"
ICT-10-2015,"664795","Collective Awareness Platforms for Sustainability and Social Innovation"
ICT-11-2014,"664796","FIRE+ (Future Internet Research &amp; Experimentation)"
ICT-12-2015,"664797","Integrating experiments and facilities in FIRE+"
ICT-13-2014,"664798","Web Entrepreneurship"
ICT-14-2014,"664799","Advanced 5G Network Infrastructure for the Future Internet"
ICT-15-2014,"664800","Big data and Open Data Innovation and take-up"
ICT-16-2015,"664801","Big data - research"
ICT-17-2014,"664802","Cracking the language barrier"
ICT-18-2014,"664803","Support the growth of ICT innovative Creative Industries SMEs"
ICT-19-2015,"664804","Technologies for creative industries, social media and convergence"
ICT-20-2015,"664805","Technologies for better human learning and teaching"
ICT-21-2014,"664806","Advanced digital gaming/gamification technologies"
ICT-22-2014,"664807","Multimodal and Natural computer interaction"
ICT-23-2014,"664808","Robotics"
ICT-24-2015,"664809","Robotics"
ICT-25-2015,"664810","Generic micro- and nano-electronic technologies"
ICT-26-2014,"664811","Photonics KET"
ICT-27-2015,"664812","Photonics KET"
ICT-28-2015,"664813","Cross-cutting ICT KETs"
ICT-29-2014,"664814","Development of novel materials and systems for OLED lighting"
ICT-30-2015,"664815","Internet of Things and Platforms for Connected Smart Objects"
ICT-31-2014,"664816","Human-centric Digital Age"
ICT-32-2014,"664817","Cybersecurity, Trustworthy ICT"
ICT-33-2014,"664818","Trans-national co-operation among National Contact Points"
ICT-34-2015,"664819","ICT contribution to pilot for co–investments by business angels in innovative ICT firms"
ICT-35-2014,"664820","Innovation and Entrepreneurship Support"
ICT-36-2015,"664821","Pre-commercial procurement open to all areas of public interest requiring new ICT solutions"
ICT-37-2014,"664822","Open Disruptive Innovation Scheme (implemented through the SME instrument)"
ICT-37-2015,"664823","Open Disruptive Innovation Scheme (implemented through the SME instrument)"
ICT-38-2015,"664824","International partnership building and support to dialogues with high income countries"
ICT-39-2015,"664825","International partnership building in low and middle income countries"
EUB-1-2015,"664826","Cloud Computing, including security aspects"
EUB-2-2015,"664827","High Performance Computing (HPC)"
EUB-3-2015,"664828","Experimental Platforms"
EUJ-1-2014,"664829","Technologies combining big data, internet of things in the cloud"
EUJ-2-2014,"664830","Optical communications"
EUJ-3-2014,"664831","Access networks for densely located users"
EUJ-4-2014,"664832","Experimentation and development on federated Japan - EU testbeds"
FoF-1-2014,"664833","Process optimisation of manufacturing assets"
FoF-8-2015,"664834","ICT-enabled modelling, simulation, analytics and forecasting technologies"
FoF-9-2015,"664835","ICT Innovation for Manufacturing SMEs (I4MS)"
SFS-01b-2014,"664836","Tackling losses from terrestrial animal diseases "
SFS-03b-2014,"664837","EU-China cooperation on IPM in agriculture "
ISIB-08b-2014,"664838","Bridging research and innovation efforts for a sustainable bioeconomy"
ISIB-12a-2014,"664839","Sustainable and resilient agriculture for food and non-food systems "
ISIB-12c-2015,"664840","Monitoring and mitigation of agricultural and forestry greenhouse gases (GHG) "
ISIB-12d-2015,"664841","Sustainable crop production "
ISIB-12e-2015,"664842","Sustainable livestock production "
ISIB-12f-2015,"664843"," Biomarkers for nutrition and health "
LCE-01-2014,"664844","New knowledge and technologies"
LCE-02-2014,"664845","Developing the next generation technologies of renewable electricity and heating/cooling"
LCE-02-2015,"664846","Developing the next generation technologies of renewable electricity and heating/cooling"
LCE-03-2014,"664847","Demonstration of renewable electricity and heating/cooling technologies"
LCE-03-2015,"664848","Demonstration of renewable electricity and heating/cooling technologies"
LCE-04-2014,"664849","Market uptake of existing and emerging renewable electricity, heating and cooling technologies"
LCE-04-2015,"664850","Market uptake of existing and emerging renewable electricity, heating and cooling technologies"
LCE-05-2015,"664851","Innovation and technologies for the deployment of meshed off-shore grids  "
LCE-06-2015,"664852","Transmission grid and wholesale market"
LCE-07-2014,"664853","Distribution grid and retail market"
LCE-08-2014,"664854","Local / small-scale storage"
LCE-09-2015,"664855","Large scale energy storage"
LCE-10-2014,"664856","Next generation technologies for energy storage"
LCE-11-2014,"664857","Developing next generation technologies for biofuels and sustainable alternative fuels"
LCE-11-2015,"664858","Developing next generation technologies for biofuels and sustainable alternative fuels"
LCE-12-2014,"664859","Demonstrating advanced biofuel technologies"
LCE-12-2015,"664860","Demonstrating advanced biofuel technologies"
LCE-13-2015,"664861","Partnering with Brazil on advanced biofuels"
LCE-14-2014,"664862","Market uptake of existing and emerging sustainable bioenergy"
LCE-14-2015,"664863","Market uptake of existing and emerging sustainable bioenergy"
LCE-15-2014,"664864","Enabling decarbonisation of the fossil fuel-based power sector and energy intensive industry through CCS"
LCE-15-2015,"664865","Enabling decarbonisation of the fossil fuel-based power sector and energy intensive industry through CCS"
LCE-16-2014,"664866","Understanding, preventing and mitigating the potential environmental impacts and risks of shale gas exploration and exploitation"
LCE-17-2015,"664867","Highly flexible and efficient fossil fuel power plants"
LCE-18-2014,"664868","Supporting Joint Actions on demonstration and validation of innovative energy solutions"
LCE-19-2014,"664869","Supporting coordination of national R&amp;D activities"
LCE-19-2015,"664870","Supporting coordination of national R&amp;D activities"
LCE-20-2014,"664871","The human factor in the energy system"
LCE-21-2015,"664872","Modelling and analysing the energy system, its transformation and impacts"
LCE-22-2014,"664873","Fostering the network of National Contact Points"
SCC-01-2014,"664874","Smart Cities and Communities solutions integrating energy, transport, ICT sectors through lighthouse (large scale demonstration - first of the kind) projects"
SCC-01-2015,"664875","Smart Cities and Communities solutions integrating energy, transport, ICT sectors through lighthouse (large scale demonstration - first of the kind) projects"
SCC-02-2014,"664876","Developing a framework for common, transparent data collection and performance measurement to allow comparability and replication between solutions and best-practice identification"
SCC-03-2015,"664877","Development of system standards for smart cities and communities solutions"
SCC-04-2014,"664878","Establishing networks of public procurers in local administrations on smart city solutions"
SCC-05-2014,"664879","Smart solutions for creating better cities and communities – assistance for a prize competition "
SIE-01-2014,"664880","Stimulating the innovation potential of SMEs for a low carbon energy system"
SIE-01-2015,"664881","Stimulating the innovation potential of SMEs for a low carbon energy system"
SIE-02-2015,"664882","Fast track to Innovation Topic - Pilot"
MG-1.1-2014,"664883","Competitiveness of European Aviation through cost efficiency and innovation"
MG-1.2-2015,"664884","Enhancing resource efficiency of aviation"
MG-1.3-2014,"664885","Seamless air mobility"
MG-1.4-2014,"664886","Coordinated research and innovation actions targeting the highest levels of safety for European aviation"
MG-1.5-2014,"664887","Breakthrough innovation for European Aviation"
MG-1.6-2014,"664888","Improving skills and knowledge base in European Aviation"
MG-1.7-2014,"664889","Support to European Aviation Research and Innovation Policy"
MG-1.8-2014,"664890","International cooperation in aeronautics"
MG-1.8-2015,"664891","International cooperation in aeronautics with Japan"
MG-2.1-2014,"664892","I²I – Intelligent Infrastructure"
MG-2.2-2014,"664893","Smart Rail Services"
MG-2.3-2014,"664894","New generation of rail vehicles"
MG-3.1-2014,"664895","MG-3.1-2014: Technologies for low emission powertrains"
MG-3.2-2014,"664896","Advanced bus concepts for increased efficiency"
MG-3.3-2014,"664897","Global competitiveness of automotive supply chain management"
MG-3.4-2014,"664898","Traffic safety analysis and integrated approach towards the safety of Vulnerable Road Users"
MG-3.5a-2014,"664899","Cooperative ITS for safe, congestion-free and sustainable mobility"
MG-3.6a-2015,"664900","Safe and connected automation in road transport"
MG-4.1-2014,"664901","Towards the energy efficient and emission free vessel"
MG-4.2-2014,"664902","Safer and more efficient waterborne operations through new technologies and smarter traffic management"
MG-4.3-2015,"664903","System modelling and life-cycle cost optimisation for waterborne assets"
MG-4.4-2014,"664904","Promoting innovation in the Inland Waterways Transport (IWT) sector"
MG-5.1-2014,"664905","Transforming the use of conventionally fuelled vehicles in urban areas"
MG-5.2-2014,"664906","Reducing impacts and costs of freight and service trips in urban areas"
MG-5.3-2014,"664907","Tackling urban road congestion"
MG-5.4-2015,"664908","Strengthening the knowledge and capacities of local authorities"
MG-5.5a-2015,"664909","Demonstrating and testing innovative solutions for cleaner and better urban transport and mobility"
MG-6.1-2014,"664910","Fostering synergies alongside the supply chain (including e.commerce)"
MG-6.2-2014,"664911","De-stressing the supply chain"
MG-6.3-2015,"664912","Common communication and navigation platforms for pan-European logistics applications"
MG-7.1-2014,"664913","Connectivity and information sharing for intelligent mobility"
MG-7.2a-2014,"664914","Towards seamless mobility addressing fragmentation in ITS deployment in Europe"
MG-8.1a-2014,"664915","Smarter design, construction and maintenance"
MG-8.2a-2014,"664916","Next generation transport infrastructure: resource efficient, smarter and safer"
MG-8.3-2015,"664917","Facilitating market take up of innovative transport infrastructure solutions"
MG-8.4a-2015,"664918","Smart governance, network resilience and streamlined delivery of infrastructure innovation"
MG-9.1-2015,"664919","Transport societal drivers"
MG-9.2-2014,"664920","User behaviour and mobility patterns in the context of major societal trends"
MG-9.3-2014,"664921","Analysis of funding schemes for transport infrastructure"
MG-9.4-2014,"664922","Research, technology development and market prospects for the European transport industries"
MG-9.5-2015,"664923","Fostering transnational cooperation in European transport research and innovation – NCP network"
MG-9.6-2014,"664924","Strengthening the research and innovation strategies of the transport industries in Europe"
MG-9.7-2014,"664925","Innovation awards for students and researchers in the context of the Transport Research Arena conference - TRA 2016"
GV-1-2014,"664926","Next generation of competitive Li-ion batteries to meet customer expectations"
GV-2-2014,"664927","Optimised and systematic energy management in electric vehicles"
GV-3-2014,"664928","Future natural gas powertrains and components for cars and vans"
GV-4-2014,"664929","Hybrid light and heavy duty vehicles"
GV-5-2014,"664930","Electric two-wheelers and new ultra-light vehicle concepts"
GV-7-2014,"664931","Future alternative fuel powertrains and components for heavy duty vehicles"
GV-8-2015,"664932","Electric vehicles’ enhanced performance and integration into the transport system and the grid"
IT-1-2014,"664933","Small business innovation research for Transport"
IT-1-2015,"664934","Small business innovation research for Transport"
IT-2-2015,"664935","Fast Track to Innovation"
OTH-1-2014,"664936","Developing a public European environmental modelling suite for aviation"
OTH-2-2015,"664937","Europe wide open source transport models, data and scenarios"
OTH-4-2015,"664938","The cleanest engine"
NFRP-01-2014,"664939","Improved safety design and operation of fission reactors"
NFRP-02-2014,"664940","Tool for the fast and reliable prediction of severe accident progression and anticipation of the source term of a nuclear accident"
NFRP-03-2014,"664941","New innovative approaches to reactor safety"
